key,message,comment,context
Task,Задача,,
Tasks,Задачи,,
Task Management,Управление задачами,,
All Tasks,Все задачи,,
My Tasks,Мои задачи,,
Overdue Tasks,Просроченные задачи,,
Completed Tasks,Завершенные задачи,,
Task Details,Детали задачи,,
title,Название,,
description,Описание,,
assignedTo,Исполнитель,,
priority,Приоритет,,
dueDate,Срок выполнения,,
status,Статус,,
estimatedHours,Оценка времени (часы),,
Low,Низкий,,
Medium,Средний,,
High,Высокий,,
New,Новая,,
In Progress,В работе,,
Done,Завершена,,
Overdue,Просрочена,,
Start Task,Начать задачу,,
Complete Task,Завершить задачу,,
